Doculect,l_0,c_tnsmood,c_aspect,c_Aper,c_Anum,c_Uper,c_Unum,c_plur,wordform,f_p1,f_p2,f_p3,f_stem,f_s1,f_s2,f_s3
Ngkolmpu,TOUCH,futign,dur,3,nsg,1,sg,pl,brpinontomoy,,b,r,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,3,nsg,1,nsg,npl,ntpinontomoy,,nt,,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,3,nsg,1,nsg,pl,ntpinontomoy,,nt,,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,3,nsg,2,sg,npl,ntpinontomoy,,nt,,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,3,nsg,2,sg,pl,ntpinontomoy,,nt,,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,3,nsg,2,nsg,npl,srpinontomoy,,s,r,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,3,nsg,2,nsg,pl,srpinontomoy,,s,r,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,3,nsg,3,nsg,npl,srpinontomoy,,s,r,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,3,nsg,3,nsg,pl,srpinontomoy,,s,r,pino,nt,omo,y
Ngkolmpu,TOUCH,imp,dur,1,sg,2,sg,npl,knpinont,,kn,,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,1,sg,2,sg,pl,knpinont,,kn,,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,1,sg,2,nsg,npl,srpinont,,s,r,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,1,sg,2,nsg,pl,srpinont,,s,r,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,1,sg,3,nsg,npl,srpinont,,s,r,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,1,sg,3,nsg,pl,srpinont,,s,r,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,1,nsg,2,sg,npl,knpinontey,,kn,,pino,nt,,ey
Ngkolmpu,TOUCH,imp,dur,1,nsg,2,sg,pl,knpinontey,,kn,,pino,nt,,ey
Ngkolmpu,TOUCH,imp,dur,1,nsg,2,nsg,npl,srpinontey,,s,r,pino,nt,,ey
Ngkolmpu,TOUCH,imp,dur,1,nsg,2,nsg,pl,srpinontey,,s,r,pino,nt,,ey
Ngkolmpu,TOUCH,imp,dur,1,nsg,3,nsg,npl,srpinontey,,s,r,pino,nt,,ey
Ngkolmpu,TOUCH,imp,dur,1,nsg,3,nsg,pl,srpinontey,,s,r,pino,nt,,ey
Ngkolmpu,TOUCH,imp,dur,2,sg,1,sg,npl,bpinont,,b,,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,2,sg,1,sg,pl,bpinont,,b,,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,2,sg,1,nsg,npl,knpinont,,kn,,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,2,sg,1,nsg,pl,knpinont,,kn,,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,2,sg,3,nsg,npl,spinont,,s,,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,2,sg,3,nsg,pl,spinont,,s,,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,2,nsg,1,sg,npl,bpinontey,,b,,pino,nt,,ey
Ngkolmpu,TOUCH,imp,dur,2,nsg,1,sg,pl,bpinontey,,b,,pino,nt,,ey
Ngkolmpu,TOUCH,imp,dur,2,nsg,1,nsg,npl,knpinontey,,kn,,pino,nt,,ey
Ngkolmpu,TOUCH,imp,dur,2,nsg,1,nsg,pl,knpinontey,,kn,,pino,nt,,ey
Ngkolmpu,TOUCH,imp,dur,2,nsg,3,nsg,npl,spinontey,,s,,pino,nt,,ey
Ngkolmpu,TOUCH,imp,dur,2,nsg,3,nsg,pl,spinontey,,s,,pino,nt,,ey
Ngkolmpu,TOUCH,imp,dur,3,sg,1,sg,npl,brpinont,,b,r,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,3,sg,1,sg,pl,brpinont,,b,r,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,3,sg,1,nsg,npl,knpinont,,kn,,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,3,sg,1,nsg,pl,knpinont,,kn,,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,3,sg,2,sg,npl,knpinont,,kn,,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,3,sg,2,sg,pl,knpinont,,kn,,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,3,sg,2,nsg,npl,srpinont,,s,r,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,3,sg,2,nsg,pl,srpinont,,s,r,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,3,sg,3,nsg,npl,srpinont,,s,r,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,3,sg,3,nsg,pl,srpinont,,s,r,pino,nt,,
Ngkolmpu,TOUCH,imp,dur,3,nsg,1,sg,npl,brpinontme,,b,r,pino,nt,,me
Ngkolmpu,TOUCH,imp,dur,3,nsg,1,sg,pl,brpinontme,,b,r,pino,nt,,me
Ngkolmpu,TOUCH,imp,dur,3,nsg,1,nsg,npl,knpinontme,,kn,,pino,nt,,me
Ngkolmpu,TOUCH,imp,dur,3,nsg,1,nsg,pl,knpinontme,,kn,,pino,nt,,me
Ngkolmpu,TOUCH,imp,dur,3,nsg,2,sg,npl,knpinontme,,kn,,pino,nt,,me
Ngkolmpu,TOUCH,imp,dur,3,nsg,2,sg,pl,knpinontme,,kn,,pino,nt,,me
Ngkolmpu,TOUCH,imp,dur,3,nsg,2,nsg,npl,srpinontme,,s,r,pino,nt,,me
Ngkolmpu,TOUCH,imp,dur,3,nsg,2,nsg,pl,srpinontme,,s,r,pino,nt,,me
Ngkolmpu,TOUCH,imp,dur,3,nsg,3,nsg,npl,srpinontme,,s,r,pino,nt,,me
Ngkolmpu,TOUCH,imp,dur,3,nsg,3,nsg,pl,srpinontme,,s,r,pino,nt,,me
